,alpha_hat,atom,baseline_hat,infinite_norm_of_diff_rel_kernel_0,initializer,lower,m_hat,n_iter,per_atom,sigma_hat,threshold,upper,infinite_norm_of_diff_rel_kernel_1,infinite_norm_of_diff_rel_kernel_2,infinite_norm_of_diff_rel_kernel_6
0,[0.0718022  0.05081896],0.0,1.2477260460162138,0.0,smart_start,0.03,"[0.11542783729260148, 0.4326733583064975]",400.0,,"[0.1410044179953705, 0.004685695965171932]",6e-11,0.5,,,
1,[0.06952061 0.        ],1.0,0.25989993881363765,,smart_start,0.03,"[0.4654476220905331, 0.32222222222222335]",400.0,,"[0.016515045108889657, 0.13635827898192754]",6e-11,0.5,0.0,,
2,[0.78589854 0.        ],2.0,0.09411936670525131,,smart_start,0.03,"[0.08599799178263495, 0.24571428571428555]",400.0,,"[0.00804192045338334, 0.1559987208506143]",6e-11,0.5,,0.0,
3,[0.         0.61338107],6.0,0.136141682045346,,smart_start,0.03,"[0.29238095238095646, 0.18782086929805478]",400.0,,"[0.11879974193914014, 0.013879055871568]",6e-11,0.5,,,0.0
4,[0.02444475 0.05205635],0.0,1.4995641667813377,"[0.25544849955195276, 0.6735328428314128]",smart_start,0.03,"[0.16028880166472995, 2.0118037313702706]",400.0,0.0,"[0.024082893093832575, 0.33905821492683386]",0.0,0.5,,,
5,[0. 0.],1.0,0.4047412546978895,,smart_start,0.03,"[0.36333333333333656, 0.308888888888891]",400.0,0.0,"[0.13081551289009474, 0.14225694020692317]",0.0,0.5,"[0.7944666181676999, 0.5572964601123317]",,
6,[1.16759750e+00 7.41434622e-20],2.0,0.3422172665538455,,smart_start,0.03,"[0.08670276851676703, 1.1628226632928549]",400.0,0.0,"[0.007812779142447204, 0.023567879443335518]",0.0,0.5,,"[0.5438070430652597, 2.6359920230397367]",
7,[0.         0.82424095],6.0,0.33719754073582126,,smart_start,0.03,"[0.3250980392156886, 0.18857131738901087]",400.0,0.0,"[0.09681272027276432, 0.013310778242276134]",0.0,0.5,,,"[1.4768133878609468, 0.41304083757657345]"
8,[0.02598892 0.06668192],0.0,1.4875303909017,"[0.2621688126393814, 0.6684196207235051]",smart_start,0.03,"[0.15988707258934376, 2.119952070737616]",400.0,0.0,"[0.024259501782762625, 0.45258679989767214]",10.0,0.5,,,
9,[0. 0.],1.0,0.37944492627927146,,smart_start,0.03,"[0.363333333333336, 0.308888888888891]",400.0,0.0,"[0.13184100758888065, 0.14225694020692317]",10.0,0.5,"[0.80730471502987, 0.4599654313553111]",,
10,[1.08647982e+00 8.80937954e-04],2.0,0.3192164301345515,,smart_start,0.03,"[0.08656054690237493, 1.1423399836032981]",400.0,0.0,"[0.007597066434888692, 0.027507122285336437]",10.0,0.5,,"[0.4723178951426252, 7.569859454351551]",
11,[0.         0.80510855],6.0,0.3110160749555505,,smart_start,0.03,"[0.32044444444444764, 0.18839754268103068]",400.0,0.0,"[0.09714339661640738, 0.013276018673277748]",10.0,0.5,,,"[1.2845029551783962, 0.3816845525807838]"
12,[0.0308304  0.08368937],0.0,1.44723302715807,"[0.2789932420351755, 0.703363640111412]",smart_start,0.03,"[0.15883180477362782, 0.14907355466977645]",400.0,0.0,"[0.024894768250009146, 71922.02405409164]",20.0,0.5,,,
